Référence Interne,Nom du produit,Prix vente conseillé €HT,Prix vente conseillé €HT,Prix vente €TTC,Prix achat revendeur €HT,Prix achat revendeur €TTC,Eco contribution
ABT-001, Abmat - Matelas pour abdominaux,15,15.75,18.9,9,10.8,0.75
ANE-001, Sangles Anneaux - Entraînement,20,21,25.2,14,16.8,1
ANN-001, Anneaux De Gym (D28),20.83,21.8715,26.2458,12.5,15,1.0415
ANN-002, Anneaux De Gym (D32),22.5,23.625,28.35,13.5,16.2,1.125
BAE-015, Barre Olympique - Entrainement 2.0 - 15Kg,170,178.5,214.2,119,142.8,8.5
BAE-020, Barre Olympique - Entrainement 2.0 - 20kg,191.67,201.2535,241.5042,134.17,161,9.5835
BAN-002, Banc Plat - WOD,132.5,139.125,166.95,92.75,111.3,6.625
DAL-015, Dalle 100x100cm (15MM),27.08,28.434,34.1208,21.66,25.99,1.354
DAL-025, Dalle 100x100cm (25MM),32.5,34.125,40.95,26,31.2,1.625
DAL-040, Dalle 100x100cm (40MM),40.83,42.8715,51.4458,32.66,39.19,2.0415
DAL-320, Dalle Lisse 20mm (Mouchetée Blanc),34,35.7,42.84,23.8,28.56,1.7
DAL-321, Dalle Lisse 20mm (Noir),34,35.7,42.84,23.8,28.56,1.7
HTR-010, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (1KG),2.75,2.8875,3.465,2.06,2.47,0.1375
HTR-020, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (2KG),5.5,5.775,6.93,4.13,4.96,0.275
HTR-025," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (2,5KG)",6.88,7.224,8.6688,5.16,6.19,0.344
HTR-030, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (3KG),8.25,8.6625,10.395,6.19,7.43,0.4125
HTR-040, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (4KG),11,11.55,13.86,8.25,9.9,0.55
HTR-050, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (5KG),13.75,14.4375,17.325,10.31,12.37,0.6875
HTR-060, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (6KG),16.5,17.325,20.79,12.38,14.86,0.825
HTR-075," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (7,5KG)",20.63,21.6615,25.9938,15.47,18.56,1.0315
HTR-080, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (8KG),22,23.1,27.72,16.5,19.8,1.1
HTR-090, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (9KG),24.75,25.9875,31.185,18.56,22.27,1.2375
HTR-100, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (10KG),27.5,28.875,34.65,20.63,24.76,1.375
HTR-125," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (12,5KG)",34.38,36.099,43.3188,25.79,30.95,1.719
HTR-150, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (15KG),41.25,43.3125,51.975,30.94,37.13,2.0625
HTR-175," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (17,5KG)",48.13,50.5365,60.6438,36.1,43.32,2.4065
HTR-200, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (20KG),55,57.75,69.3,41.25,49.5,2.75
HTR-225," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (22,5KG)",61.88,64.974,77.9688,46.41,55.69,3.094
HTR-250, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (25KG),68.75,72.1875,86.625,51.56,61.87,3.4375
HTR-275," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (27,5KG)",75.63,79.4115,95.2938,56.72,68.06,3.7815
HTR-300, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (30KG),82.5,86.625,103.95,61.88,74.26,4.125
HTR-325," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (32,5KG)",89.38,93.849,112.6188,67.04,80.45,4.469
HTR-350, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (35KG),96.25,101.0625,121.275,72.19,86.63,4.8125
HTR-375," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (37,5KG)",103.13,108.2865,129.9438,77.35,92.82,5.1565
HTR-400, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (40KG),110,115.5,138.6,82.5,99,5.5
HTR-450, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (45KG),124,130.2,156.24,93,111.6,6.2
HTR-500, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (50KG),137,143.85,172.62,102.75,123.3,6.85
KBE-040, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (4KG - Liseré Blanc),11,11.55,13.86,7.15,8.58,0.55
KBE-060, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (6KG - Liseré Gris),22.5,23.625,28.35,14.63,17.56,1.125
KBE-080, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (8KG - Liseré Rose),26.67,28.0035,33.6042,17.34,20.81,1.3335
KBE-100, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (10KG - Liseré Marron),33.33,34.9965,41.9958,21.66,25.99,1.6665
KBE-120, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (12KG - Liseré Bleu),40.83,42.8715,51.4458,26.54,31.85,2.0415
KBE-140, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (14KG - Liseré Bleu),49.17,51.6285,61.9542,31.96,38.35,2.4585
KBE-160, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (16KG - Liseré Jaune),52.5,55.125,66.15,34.13,40.96,2.625
KBE-200, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (20KG - Liseré Violet),65.83,69.1215,82.9458,42.79,51.35,3.2915
KBE-240, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (24KG - Liseré Vert),74.17,77.8785,93.4542,48.21,57.85,3.7085
KBE-280, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (28KG - Liseré Orange),82.5,86.625,103.95,53.63,64.36,4.125
KBE-320, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (32KG - Liseré Rouge),100,105,126,65,78,5
KBE-360, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (36KG - Liseré Gris),108.33,113.7465,136.4958,70.41,84.49,5.4165
KBE-400, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (40KG - Liseré Blanc),116.67,122.5035,147.0042,75.84,91.01,5.8335
POE-051, Poids Olympique - Entrainement 2.0 (5KG - Noir Liseret & Impression Blanc),29.17,30.6285,36.7542,23.34,28.01,1.4585
POE-101, Poids Olympique - Entrainement 2.0 (10KG - Noir Liseret & Impression Vert),40.83,42.8715,51.4458,32.66,39.19,2.0415
POE-151, Poids Olympique - Entrainement 2.0 (15KG - Noir Liseret & Impression Jaune),57.5,60.375,72.45,46,55.2,2.875
POE-201, Poids Olympique - Entrainement 2.0 (20KG - Noir Liseret & Impression Bleu),79.17,83.1285,99.7542,63.34,76.01,3.9585
POE-251, Poids Olympique - Entrainement 2.0 (25KG - Noir Liseret & Impression Rouge),87.5,91.875,110.25,70,84,4.375
POM-050, Poids Olympique avec poignées - Musculation (5 kg),20,21,25.2,12,14.4,1
POM-100, Poids Olympique avec poignées - Musculation (10 kg),32.5,34.125,40.95,19.5,23.4,1.625
POM-150, Poids Olympique avec poignées - Musculation (15 kg),49.17,51.6285,61.9542,29.5,35.4,2.4585
POM-200, Poids Olympique avec poignées - Musculation (20 kg),62.5,65.625,78.75,37.5,45,3.125
POW-050, Poids Olympique - WOD (5KG - Noir Mouchete Blanc),24.17,25.3785,30.4542,15.71,18.85,1.2085
POW-100, Poids Olympique - WOD (10KG - Noir Mouchete Vert),40.83,42.8715,51.4458,26.54,31.85,2.0415
POW-150, Poids Olympique - WOD (15KG - Noir Mouchete Jaune),54.17,56.8785,68.2542,35.21,42.25,2.7085
POW-200, Poids Olympique - WOD (20KG - Noir Mouchete Bleu),74.17,77.8785,93.4542,48.21,57.85,3.7085
POW-250, Poids Olympique - WOD (25KG - Noir Mouchete Rouge),82.5,86.625,103.95,53.63,64.36,4.125
