Référence Interne,Nom du produit, Prix vente conseillé €HT, Prix vente conseillé €HT, Prix vente €TTC, Prix achat revendeur €HT, Prix achat revendeur €TTC, Eco contribution
ABT-001, Abmat - Matelas pour abdominaux,"  15,00 € ","  15,75 € ","  18,90 € ","  9,00 € ","  10,80 € ","  0,75 € "
ANE-001, Sangles Anneaux - Entraînement,"  20,00 € ","  21,00 € ","  25,20 € ","  14,00 € ","  16,80 € ","  1,00 € "
ANN-001, Anneaux De Gym (D28),"  20,83 € ","  21,87 € ","  26,25 € ","  12,50 € ","  15,00 € ","  1,04 € "
ANN-002, Anneaux De Gym (D32),"  22,50 € ","  23,63 € ","  28,35 € ","  13,50 € ","  16,20 € ","  1,13 € "
BAE-015, Barre Olympique - Entrainement 2.0 - 15Kg,"  170,00 € ","  178,50 € ","  214,20 € ","  119,00 € ","  142,80 € ","  8,50 € "
BAE-020, Barre Olympique - Entrainement 2.0 - 20kg,"  191,67 € ","  201,25 € ","  241,50 € ","  134,17 € ","  161,00 € ","  9,58 € "
BAN-002, Banc Plat - WOD,"  132,50 € ","  139,13 € ","  166,95 € ","  92,75 € ","  111,30 € ","  6,63 € "
DAL-015, Dalle 100x100cm (15MM),"  27,08 € ","  28,43 € ","  34,12 € ","  21,66 € ","  25,99 € ","  1,35 € "
DAL-025, Dalle 100x100cm (25MM),"  32,50 € ","  34,13 € ","  40,95 € ","  26,00 € ","  31,20 € ","  1,63 € "
DAL-040, Dalle 100x100cm (40MM),"  40,83 € ","  42,87 € ","  51,45 € ","  32,66 € ","  39,19 € ","  2,04 € "
DAL-320, Dalle Lisse 20mm (Mouchetée Blanc),"  34,00 € ","  35,70 € ","  42,84 € ","  23,80 € ","  28,56 € ","  1,70 € "
DAL-321, Dalle Lisse 20mm (Noir),"  34,00 € ","  35,70 € ","  42,84 € ","  23,80 € ","  28,56 € ","  1,70 € "
HTR-010, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (1KG),"  2,75 € ","  2,89 € ","  3,47 € ","  2,06 € ","  2,47 € ","  0,14 € "
HTR-020, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (2KG),"  5,50 € ","  5,78 € ","  6,93 € ","  4,13 € ","  4,96 € ","  0,28 € "
HTR-025," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (2,5KG)","  6,88 € ","  7,22 € ","  8,67 € ","  5,16 € ","  6,19 € ","  0,34 € "
HTR-030, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (3KG),"  8,25 € ","  8,66 € ","  10,40 € ","  6,19 € ","  7,43 € ","  0,41 € "
HTR-040, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (4KG),"  11,00 € ","  11,55 € ","  13,86 € ","  8,25 € ","  9,90 € ","  0,55 € "
HTR-050, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (5KG),"  13,75 € ","  14,44 € ","  17,33 € ","  10,31 € ","  12,37 € ","  0,69 € "
HTR-060, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (6KG),"  16,50 € ","  17,33 € ","  20,79 € ","  12,38 € ","  14,86 € ","  0,83 € "
HTR-075," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (7,5KG)","  20,63 € ","  21,66 € ","  25,99 € ","  15,47 € ","  18,56 € ","  1,03 € "
HTR-080, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (8KG),"  22,00 € ","  23,10 € ","  27,72 € ","  16,50 € ","  19,80 € ","  1,10 € "
HTR-090, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (9KG),"  24,75 € ","  25,99 € ","  31,19 € ","  18,56 € ","  22,27 € ","  1,24 € "
HTR-100, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (10KG),"  27,50 € ","  28,88 € ","  34,65 € ","  20,63 € ","  24,76 € ","  1,38 € "
HTR-125," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (12,5KG)","  34,38 € ","  36,10 € ","  43,32 € ","  25,79 € ","  30,95 € ","  1,72 € "
HTR-150, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (15KG),"  41,25 € ","  43,31 € ","  51,98 € ","  30,94 € ","  37,13 € ","  2,06 € "
HTR-175," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (17,5KG)","  48,13 € ","  50,54 € ","  60,64 € ","  36,10 € ","  43,32 € ","  2,41 € "
HTR-200, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (20KG),"  55,00 € ","  57,75 € ","  69,30 € ","  41,25 € ","  49,50 € ","  2,75 € "
HTR-225," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (22,5KG)","  61,88 € ","  64,97 € ","  77,97 € ","  46,41 € ","  55,69 € ","  3,09 € "
HTR-250, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (25KG),"  68,75 € ","  72,19 € ","  86,63 € ","  51,56 € ","  61,87 € ","  3,44 € "
HTR-275," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (27,5KG)","  75,63 € ","  79,41 € ","  95,29 € ","  56,72 € ","  68,06 € ","  3,78 € "
HTR-300, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (30KG),"  82,50 € ","  86,63 € ","  103,95 € ","  61,88 € ","  74,26 € ","  4,13 € "
HTR-325," Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (32,5KG)","  89,38 € ","  93,85 € ","  112,62 € ","  67,04 € ","  80,45 € ","  4,47 € "
HTR-350, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (35KG),"  96,25 € ","  101,06 € ","  121,28 € ","  72,19 € ","  86,63 € ","  4,81 € "
